month,relay_chain,chain,substrate,evm,number_of_transactions
2024-01-01,polkadot,aventus,57154,,57154
2024-01-01,polkadot,bifrost,29175,,29175
2024-01-01,polkadot,bitgreen,32,,32
2024-01-01,polkadot,collectives,182,,182
2024-01-01,polkadot,composable,23789,,23789
2024-01-01,polkadot,crust,125,,125
2024-01-01,polkadot,equilibrium,2668,,2668
2024-01-01,polkadot,frequency,149808,,149808
2024-01-01,polkadot,integritee,20,,20
2024-01-01,polkadot,interlay,68621,,68621
2024-01-01,polkadot,invarch,2041,,2041
2024-01-01,polkadot,kapex,3,,3
2024-01-01,polkadot,kilt-spiritnet,4242,,4242
2024-01-01,polkadot,litentry,1803,,1803
2024-01-01,polkadot,manta,69856,,69856
2024-01-01,polkadot,nodle,290616,,290616
2024-01-01,polkadot,parallel,96239,,96239
2024-01-01,polkadot,pendulum,4278,,4278
2024-01-01,polkadot,phala,4329897,,4329897
2024-01-01,polkadot,polkadex,4,,4
2024-01-01,polkadot,polkadot,441822,,441822
2024-01-01,polkadot,polkadot-hashed,314,,314
2024-01-01,polkadot,statemint,13659,,13659
2024-01-01,polkadot,zeitgeist,5093,,5093
2024-01-01,polkadot,clover,43,772,815
2024-01-01,polkadot,origintrail,491,2729234,2729725
2024-01-01,polkadot,hydradx,89556,283,89839
2024-01-01,polkadot,acala,72248,7012,79260
2024-01-01,polkadot,astar,1230995,465518,1696513
2024-01-01,polkadot,moonbeam,8661,2892951,2901612
2024-01-01,polkadot,darwinia,3,5026,5029
2024-01-01,polkadot,centrifuge,10012,176,10188
2024-01-01,polkadot,unique,2529,237,2766
2023-12-01,polkadot,acala,89422,5814,95236
2023-12-01,polkadot,astar,1362155,538038,1900193
2023-12-01,polkadot,unique,3095,600,3695
2023-12-01,polkadot,hydradx,61946,51,61997
2023-12-01,polkadot,darwinia,2,1924,1926
2023-12-01,polkadot,moonbeam,8561,2107996,2116557
2023-12-01,polkadot,centrifuge,10991,214,11205
2023-12-01,polkadot,origintrail,499,3101833,3102332
2023-12-01,polkadot,crust,38,,38
2023-12-01,polkadot,manta,45,,45
2023-12-01,polkadot,nodle,202157,,202157
2023-12-01,polkadot,phala,4313964,,4313964
2023-12-01,polkadot,aventus,28093,,28093
2023-12-01,polkadot,bifrost,1540974,,1540974
2023-12-01,polkadot,bitgreen,23,,23
2023-12-01,polkadot,interlay,62357,,62357
2023-12-01,polkadot,litentry,1759,,1759
2023-12-01,polkadot,parallel,152232,,152232
2023-12-01,polkadot,pendulum,2837,,2837
2023-12-01,polkadot,polkadex,25,,25
2023-12-01,polkadot,polkadot,17968583,,17968583
2023-12-01,polkadot,frequency,188083,,188083
2023-12-01,polkadot,statemint,11044,,11044
2023-12-01,polkadot,zeitgeist,3187,,3187
2023-12-01,polkadot,composable,11453,,11453
2023-12-01,polkadot,collectives,108,,108
2023-12-01,polkadot,equilibrium,2755,,2755
2023-12-01,polkadot,kilt-spiritnet,5201,,5201
2023-12-01,polkadot,polkadot-hashed,121,,121
2023-11-01,polkadot,acala,80243,5736,85979
2023-11-01,polkadot,astar,85855,942383,1028238
2023-11-01,polkadot,unique,18213,120,18333
2023-11-01,polkadot,darwinia,,1776,1776
2023-11-01,polkadot,moonbeam,6506,1395680,1402186
2023-11-01,polkadot,centrifuge,11463,40,11503
2023-11-01,polkadot,origintrail,391,3611563,3611954
2023-11-01,polkadot,crust,65,,65
2023-11-01,polkadot,kapex,10,,10
2023-11-01,polkadot,kylin,33,,33
2023-11-01,polkadot,manta,1,,1
2023-11-01,polkadot,nodle,131607,,131607
2023-11-01,polkadot,phala,4077914,,4077914
2023-11-01,polkadot,aventus,20239,,20239
2023-11-01,polkadot,bifrost,21439,,21439
2023-11-01,polkadot,hydradx,29488,,29488
2023-11-01,polkadot,bitgreen,36,,36
2023-11-01,polkadot,interlay,56414,,56414
2023-11-01,polkadot,litentry,1827,,1827
2023-11-01,polkadot,parallel,122929,,122929
2023-11-01,polkadot,pendulum,2304,,2304
2023-11-01,polkadot,polkadex,3,,3
2023-11-01,polkadot,polkadot,356674,,356674
2023-11-01,polkadot,frequency,119959,,119959
2023-11-01,polkadot,statemint,5831,,5831
2023-11-01,polkadot,zeitgeist,3148,,3148
2023-11-01,polkadot,composable,10519,,10519
2023-11-01,polkadot,collectives,140,,140
2023-11-01,polkadot,equilibrium,2735,,2735
2023-11-01,polkadot,kilt-spiritnet,6318,,6318
2023-11-01,polkadot,polkadot-hashed,88,,88
2023-10-01,polkadot,acala,97974,8432,106406
2023-10-01,polkadot,astar,71262,882691,953953
2023-10-01,polkadot,clover,5,2713,2718
2023-10-01,polkadot,unique,25574,169,25743
2023-10-01,polkadot,darwinia,1,1946,1947
2023-10-01,polkadot,moonbeam,11715,1247380,1259095
2023-10-01,polkadot,centrifuge,7766,5,7771
2023-10-01,polkadot,origintrail,443,3705395,3705838
2023-10-01,polkadot,crust,24,,24
2023-10-01,polkadot,kapex,41,,41
2023-10-01,polkadot,kylin,68,,68
2023-10-01,polkadot,manta,1,,1
2023-10-01,polkadot,nodle,123864,,123864
2023-10-01,polkadot,phala,4073142,,4073142
2023-10-01,polkadot,aventus,51505,,51505
2023-10-01,polkadot,bifrost,17811,,17811
2023-10-01,polkadot,hydradx,21082,,21082
2023-10-01,polkadot,bitgreen,14,,14
2023-10-01,polkadot,interlay,84279,,84279
2023-10-01,polkadot,litentry,2664,,2664
2023-10-01,polkadot,parallel,152295,,152295
2023-10-01,polkadot,pendulum,1673,,1673
2023-10-01,polkadot,polkadex,13,,13
2023-10-01,polkadot,polkadot,278346,,278346
2023-10-01,polkadot,frequency,69851,,69851
2023-10-01,polkadot,statemint,3204,,3204
2023-10-01,polkadot,zeitgeist,5724,,5724
2023-10-01,polkadot,composable,10503,,10503
2023-10-01,polkadot,collectives,134,,134
2023-10-01,polkadot,equilibrium,2483,,2483
2023-10-01,polkadot,kilt-spiritnet,3637,,3637
2023-10-01,polkadot,polkadot-hashed,61,,61
2023-09-01,polkadot,acala,37807,3426,41233
2023-09-01,polkadot,astar,63373,679076,742449
2023-09-01,polkadot,clover,1,3461,3462
2023-09-01,polkadot,unique,3041,145,3186
2023-09-01,polkadot,darwinia,2,1853,1855
2023-09-01,polkadot,moonbeam,8053,1363242,1371295
2023-09-01,polkadot,centrifuge,6025,1,6026
2023-09-01,polkadot,origintrail,314,3003961,3004275
2023-09-01,polkadot,crust,11,,11
2023-09-01,polkadot,kapex,5,,5
2023-09-01,polkadot,kylin,51,,51
2023-09-01,polkadot,manta,15,,15
2023-09-01,polkadot,nodle,53713,,53713
2023-09-01,polkadot,phala,3808922,,3808922
2023-09-01,polkadot,aventus,60113,,60113
2023-09-01,polkadot,bifrost,15832,,15832
2023-09-01,polkadot,hydradx,22235,,22235
2023-09-01,polkadot,bitgreen,52,,52
2023-09-01,polkadot,interlay,64388,,64388
2023-09-01,polkadot,litentry,2707,,2707
2023-09-01,polkadot,parallel,96744,,96744
2023-09-01,polkadot,pendulum,2124,,2124
2023-09-01,polkadot,polkadex,5,,5
2023-09-01,polkadot,polkadot,222446,,222446
2023-09-01,polkadot,frequency,43035,,43035
2023-09-01,polkadot,statemint,3457,,3457
2023-09-01,polkadot,zeitgeist,1455,,1455
2023-09-01,polkadot,composable,7243,,7243
2023-09-01,polkadot,collectives,46,,46
2023-09-01,polkadot,equilibrium,2016,,2016
2023-09-01,polkadot,kilt-spiritnet,2916,,2916
2023-09-01,polkadot,polkadot-hashed,69,,69
2023-08-01,polkadot,acala,34596,2849,37445
2023-08-01,polkadot,astar,70719,1846762,1917481
2023-08-01,polkadot,clover,1,7165,7166
2023-08-01,polkadot,unique,5508,633,6141
2023-08-01,polkadot,moonbeam,15983,1385745,1401728
2023-08-01,polkadot,origintrail,91,1409755,1409846
2023-08-01,polkadot,crust,16,,16
2023-08-01,polkadot,kapex,2,,2
2023-08-01,polkadot,kylin,70,,70
2023-08-01,polkadot,manta,102,,102
2023-08-01,polkadot,nodle,61833,,61833
2023-08-01,polkadot,phala,3924103,,3924103
2023-08-01,polkadot,aventus,71683,,71683
2023-08-01,polkadot,bifrost,14021,,14021
2023-08-01,polkadot,hydradx,17088,,17088
2023-08-01,polkadot,bitgreen,9,,9
2023-08-01,polkadot,interlay,52736,,52736
2023-08-01,polkadot,litentry,2749,,2749
2023-08-01,polkadot,parallel,115321,,115321
2023-08-01,polkadot,pendulum,2013,,2013
2023-08-01,polkadot,polkadex,6577,,6577
2023-08-01,polkadot,polkadot,211304,,211304
2023-08-01,polkadot,frequency,244,,244
2023-08-01,polkadot,statemint,2467,,2467
2023-08-01,polkadot,zeitgeist,1405,,1405
2023-08-01,polkadot,composable,17122,,17122
2023-08-01,polkadot,collectives,119,,119
2023-08-01,polkadot,equilibrium,55681,,55681
2023-08-01,polkadot,kilt-spiritnet,3701,,3701
2023-08-01,polkadot,polkadot-hashed,48,,48
2023-08-01,polkadot,centrifuge,6973,3,6976
2023-08-01,polkadot,darwinia,2,1342,1344
2023-07-01,polkadot,acala,50210,1634,51844
2023-07-01,polkadot,astar,80643,1792600,1873243
2023-07-01,polkadot,clover,4,57283,57287
2023-07-01,polkadot,unique,12468,1292,13760
2023-07-01,polkadot,darwinia,,1406,1406
2023-07-01,polkadot,moonbeam,29930,1415861,1445791
2023-07-01,polkadot,origintrail,318,557549,557867
2023-07-01,polkadot,ajuna,1,,1
2023-07-01,polkadot,crust,6,,6
2023-07-01,polkadot,kapex,1,,1
2023-07-01,polkadot,kylin,73,,73
2023-07-01,polkadot,manta,206,,206
2023-07-01,polkadot,nodle,77548,,77548
2023-07-01,polkadot,phala,3737968,,3737968
2023-07-01,polkadot,aventus,78600,,78600
2023-07-01,polkadot,bifrost,9747,,9747
2023-07-01,polkadot,hydradx,14069,,14069
2023-07-01,polkadot,bitgreen,62,,62
2023-07-01,polkadot,interlay,53387,,53387
2023-07-01,polkadot,litentry,3093,,3093
2023-07-01,polkadot,parallel,83230,,83230
2023-07-01,polkadot,pendulum,1569,,1569
2023-07-01,polkadot,polkadex,9196,,9196
2023-07-01,polkadot,polkadot,227272,,227272
2023-07-01,polkadot,frequency,302,,302
2023-07-01,polkadot,statemint,2618,,2618
2023-07-01,polkadot,zeitgeist,1839,,1839
2023-07-01,polkadot,centrifuge,8830,,8830
2023-07-01,polkadot,composable,13697,,13697
2023-07-01,polkadot,collectives,156,,156
2023-07-01,polkadot,equilibrium,51334,,51334
2023-07-01,polkadot,kilt-spiritnet,3230,,3230
2023-07-01,polkadot,polkadot-hashed,77,,77
2023-06-01,polkadot,acala,64489,819,65308
2023-06-01,polkadot,astar,63587,2261549,2325136
2023-06-01,polkadot,clover,2,48763,48765
2023-06-01,polkadot,darwinia,291,1607,1898
2023-06-01,polkadot,moonbeam,25628,958571,984199
2023-06-01,polkadot,origintrail,102,593917,594019
2023-06-01,polkadot,crust,27,,27
2023-06-01,polkadot,kapex,11,,11
2023-06-01,polkadot,kylin,86,,86
2023-06-01,polkadot,manta,45,,45
2023-06-01,polkadot,nodle,50598,,50598
2023-06-01,polkadot,phala,3034944,,3034944
2023-06-01,polkadot,aventus,85067,,85067
2023-06-01,polkadot,bifrost,9953,,9953
2023-06-01,polkadot,hydradx,11746,,11746
2023-06-01,polkadot,bitgreen,90,,90
2023-06-01,polkadot,interlay,38153,,38153
2023-06-01,polkadot,litentry,3136,,3136
2023-06-01,polkadot,parallel,140392,,140392
2023-06-01,polkadot,pendulum,1143,,1143
2023-06-01,polkadot,polkadex,12827,,12827
2023-06-01,polkadot,polkadot,253586,,253586
2023-06-01,polkadot,frequency,96,,96
2023-06-01,polkadot,statemint,5447,,5447
2023-06-01,polkadot,zeitgeist,1902,,1902
2023-06-01,polkadot,centrifuge,7708,,7708
2023-06-01,polkadot,composable,16330,,16330
2023-06-01,polkadot,collectives,21,,21
2023-06-01,polkadot,equilibrium,66094,,66094
2023-06-01,polkadot,kilt-spiritnet,3478,,3478
2023-06-01,polkadot,polkadot-hashed,35,,35
2023-06-01,polkadot,unique,5466,1342,6808
2023-05-01,polkadot,acala,66953,692,67645
2023-05-01,polkadot,astar,59410,2771043,2830453
2023-05-01,polkadot,clover,,13782,13782
2023-05-01,polkadot,unique,1377,92,1469
2023-05-01,polkadot,darwinia,656,2359,3015
2023-05-01,polkadot,moonbeam,28594,797877,826471
2023-05-01,polkadot,origintrail,141,638823,638964
2023-05-01,polkadot,crust,15,,15
2023-05-01,polkadot,kapex,11,,11
2023-05-01,polkadot,kylin,85,,85
2023-05-01,polkadot,manta,21,,21
2023-05-01,polkadot,nodle,52217,,52217
2023-05-01,polkadot,phala,1998464,,1998464
2023-05-01,polkadot,aventus,72718,,72718
2023-05-01,polkadot,bifrost,16781,,16781
2023-05-01,polkadot,hydradx,8853,,8853
2023-05-01,polkadot,bitgreen,112,,112
2023-05-01,polkadot,interlay,36091,,36091
2023-05-01,polkadot,litentry,3423,,3423
2023-05-01,polkadot,parallel,144830,,144830
2023-05-01,polkadot,pendulum,1996,,1996
2023-05-01,polkadot,polkadex,15303,,15303
2023-05-01,polkadot,polkadot,214863,,214863
2023-05-01,polkadot,frequency,553,,553
2023-05-01,polkadot,statemint,1094,,1094
2023-05-01,polkadot,zeitgeist,2234,,2234
2023-05-01,polkadot,centrifuge,7396,,7396
2023-05-01,polkadot,composable,13321,,13321
2023-05-01,polkadot,collectives,1,,1
2023-05-01,polkadot,equilibrium,66116,,66116
2023-05-01,polkadot,kilt-spiritnet,4252,,4252
2023-05-01,polkadot,polkadot-hashed,41,,41
2023-04-01,polkadot,acala,72480,1364,73844
2023-04-01,polkadot,astar,68486,2334421,2402907
2023-04-01,polkadot,clover,1,15079,15080
2023-04-01,polkadot,unique,1944,31,1975
2023-04-01,polkadot,darwinia,192,607,799
2023-04-01,polkadot,moonbeam,24818,1149480,1174298
2023-04-01,polkadot,origintrail,315,673263,673578
2023-04-01,polkadot,crust,12,,12
2023-04-01,polkadot,kapex,5,,5
2023-04-01,polkadot,kylin,89,,89
2023-04-01,polkadot,manta,7,,7
2023-04-01,polkadot,nodle,60133,,60133
2023-04-01,polkadot,phala,17520,,17520
2023-04-01,polkadot,aventus,4072,,4072
2023-04-01,polkadot,bifrost,13443,,13443
2023-04-01,polkadot,hydradx,6845,,6845
2023-04-01,polkadot,bitgreen,200,,200
2023-04-01,polkadot,interlay,37443,,37443
2023-04-01,polkadot,litentry,3816,,3816
2023-04-01,polkadot,parallel,128648,,128648
2023-04-01,polkadot,pendulum,1365,,1365
2023-04-01,polkadot,polkadex,7521,,7521
2023-04-01,polkadot,polkadot,232821,,232821
2023-04-01,polkadot,frequency,173,,173
2023-04-01,polkadot,statemint,778,,778
2023-04-01,polkadot,zeitgeist,2929,,2929
2023-04-01,polkadot,centrifuge,7919,,7919
2023-04-01,polkadot,composable,7854,,7854
2023-04-01,polkadot,equilibrium,53270,,53270
2023-04-01,polkadot,kilt-spiritnet,4379,,4379
2023-04-01,polkadot,polkadot-hashed,113,,113
2023-03-01,polkadot,acala,75887,1399,77286
2023-03-01,polkadot,astar,75603,2901976,2977579
2023-03-01,polkadot,clover,3,16980,16983
2023-03-01,polkadot,unique,206698,97,206795
2023-03-01,polkadot,moonbeam,25548,1383787,1409335
2023-03-01,polkadot,origintrail,242,693001,693243
2023-03-01,polkadot,crust,33,,33
2023-03-01,polkadot,kapex,2,,2
2023-03-01,polkadot,kylin,79,,79
2023-03-01,polkadot,nodle,65246,,65246
2023-03-01,polkadot,phala,949,,949
2023-03-01,polkadot,aventus,2500124,,2500124
2023-03-01,polkadot,bifrost,14014,,14014
2023-03-01,polkadot,hydradx,8120,,8120
2023-03-01,polkadot,bitgreen,351,,351
2023-03-01,polkadot,darwinia,32,,32
2023-03-01,polkadot,interlay,39544,,39544
2023-03-01,polkadot,litentry,4210,,4210
2023-03-01,polkadot,pendulum,2227,,2227
2023-03-01,polkadot,polkadex,28294,,28294
2023-03-01,polkadot,polkadot,287840,,287840
2023-03-01,polkadot,frequency,86,,86
2023-03-01,polkadot,statemint,744,,744
2023-03-01,polkadot,zeitgeist,3289,,3289
2023-03-01,polkadot,centrifuge,9417,,9417
2023-03-01,polkadot,composable,3,,3
2023-03-01,polkadot,collectives,6,,6
2023-03-01,polkadot,equilibrium,47210,,47210
2023-03-01,polkadot,kilt-spiritnet,4682,,4682
2023-03-01,polkadot,polkadot-hashed,210,,210
2023-03-01,polkadot,parallel,138631,3,138634
2023-02-01,polkadot,acala,156527,1322,157849
2023-02-01,polkadot,astar,106538,6631196,6737734
2023-02-01,polkadot,clover,5,10810,10815
2023-02-01,polkadot,unique,1653,16,1669
2023-02-01,polkadot,moonbeam,25699,1714649,1740348
2023-02-01,polkadot,origintrail,249,247517,247766
2023-02-01,polkadot,ajuna,2,,2
2023-02-01,polkadot,crust,105,,105
2023-02-01,polkadot,kapex,8,,8
2023-02-01,polkadot,kylin,88,,88
2023-02-01,polkadot,nodle,55833,,55833
2023-02-01,polkadot,phala,924,,924
2023-02-01,polkadot,aventus,2500019,,2500019
2023-02-01,polkadot,bifrost,11359,,11359
2023-02-01,polkadot,hydradx,11712,,11712
2023-02-01,polkadot,bitgreen,148,,148
2023-02-01,polkadot,darwinia,16,,16
2023-02-01,polkadot,interlay,40028,,40028
2023-02-01,polkadot,litentry,4691,,4691
2023-02-01,polkadot,parallel,161424,,161424
2023-02-01,polkadot,pendulum,95,,95
2023-02-01,polkadot,polkadex,16035,,16035
2023-02-01,polkadot,polkadot,277923,,277923
2023-02-01,polkadot,frequency,58,,58
2023-02-01,polkadot,statemint,790,,790
2023-02-01,polkadot,zeitgeist,3025,,3025
2023-02-01,polkadot,centrifuge,8942,,8942
2023-02-01,polkadot,composable,3,,3
2023-02-01,polkadot,collectives,2,,2
2023-02-01,polkadot,equilibrium,10401,,10401
2023-02-01,polkadot,kilt-spiritnet,4257,,4257
2023-01-01,polkadot,acala,270605,1283,271888
2023-01-01,polkadot,astar,71428,6723274,6794702
2023-01-01,polkadot,clover,7,11552,11559
2023-01-01,polkadot,unique,1900,27,1927
2023-01-01,polkadot,moonbeam,24333,793313,817646
2023-01-01,polkadot,origintrail,474,129939,130413
2023-01-01,polkadot,ajuna,3,,3
2023-01-01,polkadot,crust,78,,78
2023-01-01,polkadot,kapex,54,,54
2023-01-01,polkadot,kylin,106,,106
2023-01-01,polkadot,nodle,41965,,41965
2023-01-01,polkadot,phala,616,,616
2023-01-01,polkadot,aventus,2010773,,2010773
2023-01-01,polkadot,bifrost,9277,,9277
2023-01-01,polkadot,hydradx,33155,,33155
2023-01-01,polkadot,bitgreen,27,,27
2023-01-01,polkadot,darwinia,2,,2
2023-01-01,polkadot,interlay,43634,,43634
2023-01-01,polkadot,litentry,4495,,4495
2023-01-01,polkadot,parallel,183405,,183405
2023-01-01,polkadot,polkadex,7782,,7782
2023-01-01,polkadot,polkadot,297788,,297788
2023-01-01,polkadot,frequency,15,,15
2023-01-01,polkadot,statemint,468,,468
2023-01-01,polkadot,zeitgeist,3066,,3066
2023-01-01,polkadot,centrifuge,8263,,8263
2023-01-01,polkadot,composable,8,,8
2023-01-01,polkadot,collectives,2,,2
2023-01-01,polkadot,equilibrium,1885,,1885
2023-01-01,polkadot,kilt-spiritnet,5941,,5941
